Airport Code,Airport Description
All,All
AllMajors,All Major Airports
ATL,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
BWI,"- Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
BOS,"- Boston, MA: Logan International"
CLT,"- Charlotte, NC: Charlotte Douglas International"
MDW,"- Chicago, IL: Chicago Midway International"
ORD,"- Chicago, IL: Chicago O'Hare International"
DFW,"- Dallas/Fort Worth, TX: Dallas/Fort Worth International"
DEN,"- Denver, CO: Denver International"
DTW,"- Detroit, MI: Detroit Metro Wayne County"
FLL,"- Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
HNL,"- Honolulu, HI: Daniel K Inouye International"
IAH,"- Houston, TX: George Bush Intercontinental/Houston"
LAS,"- Las Vegas, NV: McCarran International"
LAX,"- Los Angeles, CA: Los Angeles International"
MIA,"- Miami, FL: Miami International"
MSP,"- Minneapolis, MN: Minneapolis-St Paul International"
JFK,"- New York, NY: John F. Kennedy International"
LGA,"- New York, NY: LaGuardia"
EWR,"- Newark, NJ: Newark Liberty International"
MCO,"- Orlando, FL: Orlando International"
PHL,"- Philadelphia, PA: Philadelphia International"
PHX,"- Phoenix, AZ: Phoenix Sky Harbor International"
PDX,"- Portland, OR: Portland International"
SLC,"- Salt Lake City, UT: Salt Lake City International"
SAN,"- San Diego, CA: San Diego International"
SFO,"- San Francisco, CA: San Francisco International"
SEA,"- Seattle, WA: Seattle/Tacoma International"
TPA,"- Tampa, FL: Tampa International"
DCA,"- Washington, DC: Ronald Reagan Washington National"
IAD,"- Washington, DC: Washington Dulles International"
AllOthers,All Other Airports
UXM,"- 47-Mile Mine, AK: 47-Mile Mine Airport"
ABR,"- Aberdeen, SD: Aberdeen Regional"
ABI,"- Abilene, TX: Abilene Regional"
DYS,"- Abilene, TX: Dyess AFB"
ADK,"- Adak Island, AK: Adak"
VZF,"- Afognak Straits, AK: Afognak Straits Airport"
BQN,"- Aguadilla, PR: Rafael Hernandez"
AKK,"- Akhiok, AK: Akhiok Airport"
KKI,"- Akiachak, AK: Akiachak Airport"
AKI,"- Akiak, AK: Akiak Airport"
AKO,"- Akron, CO: Colorado Plains Regional"
AKC,"- Akron, OH: Akron Fulton International"
CAK,"- Akron, OH: Akron-Canton Regional"
7AK,"- Akun, AK: Akun Airport"
KQA,"- Akutan, AK: Akutan Airport"
AUK,"- Alakanuk, AK: Alakanuk Airport"
ALM,"- Alamogordo, NM: Alamogordo White Sands Regional"
ALS,"- Alamosa, CO: San Luis Valley Regional/Bergman Field"
ABY,"- Albany, GA: Southwest Georgia Regional"
ALB,"- Albany, NY: Albany International"
ABQ,"- Albuquerque, NM: Albuquerque International Sunport"
ZXB,"- Albuquerque, NM: Double Eagle II"
WKK,"- Aleknagik, AK: Aleknagik New"
AED,"- Aleneva, AK: Aleneva Airport"
AEX,"- Alexandria, LA: Alexandria International"
AXN,"- Alexandria, MN: Chandler Field"
AET,"- Allakaket, AK: Allakaket Airport"
ABE,"- Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
AIA,"- Alliance, NE: Alliance Municipal"
APN,"- Alpena, MI: Alpena County Regional"
DQH,"- Alpine, AK: Alpine Airstrip"
AOO,"- Altoona, PA: Altoona-Blair County"
AMA,"- Amarillo, TX: Rick Husband Amarillo International"
ABL,"- Ambler, AK: Ambler River"
OQZ,"- American Creek, AK: American Creek Airport"
AOS,"- Amook Bay, AK: Amook Bay Airport"
OTS,"- Anacortes, WA: Anacortes Airport"
AKP,"- Anaktuvuk Pass, AK: Anaktuvuk Pass Airport"
EDF,"- Anchorage, AK: Elmendorf AFB"
DQL,"- Anchorage, AK: Lake Hood"
MRI,"- Anchorage, AK: Merrill Field"
ANC,"- Anchorage, AK: Ted Stevens Anchorage International"
AND,"- Anderson, SC: Anderson Regional"
AGN,"- Angoon, AK: Angoon Seaplane Base"
ANI,"- Aniak, AK: Aniak Airport"
ANN,"- Annette, AK: Annette Island"
ANB,"- Anniston, AL: Anniston Regional"
ANV,"- Anvik, AK: Anvik Airport"
ATW,"- Appleton, WI: Appleton International"
ACV,"- Arcata/Eureka, CA: California Redwood Coast Humboldt County"
ARC,"- Arctic Village, AK: Arctic Village Airport"
ADM,"- Ardmore, OK: Ardmore Municipal"
JZT,"- Arlington, TX: Arlington Municipal"
AVL,"- Asheville, NC: Asheville Regional"
HTS,"- Ashland, WV: Tri-State/Milton J. Ferguson Field"
ASE,"- Aspen, CO: Aspen Pitkin County Sardy Field"
AST,"- Astoria/Seaside, OR: Astoria Regional"
AHN,"- Athens, GA: Athens/Ben Epps"
AKB,"- Atka, AK: Atka Airport"
PDK,"- Atlanta, GA: Dekalb Peachtree"
FTY,"- Atlanta, GA: Fulton County Airport-Brown Field"
GA3,"- Atlanta, GA: Newnan Coweta County"
ACY,"- Atlantic City, NJ: Atlantic City International"
ATT,"- Atmautluak, AK: Atmautluak Airport"
ATK,"- Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial"
MER,"- Atwater, CA: Castle"
AUO,"- Auburn, AL: Auburn University Regional"
AGS,"- Augusta, GA: Augusta Regional at Bush Field"
AUG,"- Augusta/Waterville, ME: Augusta State"
